If you can find lower prices on groceries, you're playing a different game.	如果能找到更便宜的雜貨，你根本在玩不同的遊戲。
Check out our corn...you'll love to nibble our ears.	來看看我們的玉米……你會愛上咬著我們的玉米筒。
Our celery stalks at midnight.	我們的芹菜在午夜散步。
Meet our dairy department managers, Sam 'n Ella!	認識我們乳製品部的經理——山姆和艾拉！
No time to read the newspaper.	沒時間讀報紙。
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. We take very little interest in you.	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們對你沒什麼利息。
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. You'll always find yourself a loan here!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。你總能在這裡找到貸款！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. No charge for deposits!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。存款不收費！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Tuesdays are Double Dollar Days!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。星期二是雙倍金錢日！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Have you gotten your free Toast Point Tongs?	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。你拿到免費的吐司夾了嗎？
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our fixed-rate CDs spin at 1500 RPM!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的定利率光碟轉速達 1500 轉！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. This little P.I.G.G.Y. plays the market!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。這隻小豬在市場上買賣！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Where we do Savings and Loans without a crisis!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們從不危機就進行儲蓄和貸款！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our loan officers are real Yes-men!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的貸款人員全是說好人！
Welcome to the Pacific International Grand Gratuity Yield -P.I.G.G.Y.- Bank. Our San Andreas branch is in default!	歡迎來到太平洋國際大方厚利銀行（P.I.G.G.Y. 銀行）。我們的聖安地列斯分行已違約！
Thank you for depositing on us.	感謝你的存款。
You do not have any cash to deposit.	你沒有現金存款。
There is always a penalty for early withdrawal.	提前提款總是有罰款的。
You do not have any savings.	你沒有存款。
Thank You for your payment.	感謝你的付款。
You don't have a loan.	你沒有貸款。
Sure, I can extend your loan for another $%d \nWould you like to do that?	當然，我可以再延長你 $%d 的貸款\n你要這樣做嗎？
Sure, you can have a loan for $%d \nWould you like to do that?	當然，你可以獲得 $%d 的貸款\n你要這樣做嗎？
Here is your %d, payable the 1st of each month.	這是你的 %d，每月 1 號應付。
Well then, come back and see us any time.	那麼，隨時回來看我們。
I'm terribly sorry, but you need more money or a better job in order to get an extension on your loan.	非常遺憾，你需要更多金錢或更好的工作才能延長貸款。
I'm terribly sorry, but you need more money or a better job in order to get a loan.	非常遺憾，你需要更多金錢或更好的工作才能獲得貸款。
No time is left to apply for a loan.	沒有時間申請貸款了。
No time is left to see the broker.	沒有時間見證券營業員了。
Welcome to the Factory. We will overwork you, under pay you, and expect you to take it with a smile.	歡迎來到工廠。我們會超負荷工作你、低薪支付你，並期望你笑著接受。
Welcome to the Factory. Where else can you have this much fun and get paid for it too.	歡迎來到工廠。還有哪裡能讓你有這麼多樂趣並還能拿薪水？
Welcome to the Factory. Where the work is hard, the pay is low, and the conditions are miserable.	歡迎來到工廠。工作辛苦、薪水低廉、條件糟糕的地方。
Welcome to the Factory. Thursday is Double Workman's Compensation Day!	歡迎來到工廠。星期四是雙倍工人補償日！
Welcome to the Factory. We pay Top Dollar for Blue Collar!	歡迎來到工廠。我們為藍領工作支付最高薪資！
Welcome to the Factory. No sweat...no paycheck!	歡迎來到工廠。不流汗……沒薪水！
Welcome to the Factory. Where money is our most important product.	歡迎來到工廠。金錢是我們最重要的產品。
Welcome to the Factory. Please wear your safety helmet during scheduled inspections.	歡迎來到工廠。定期檢查期間請穿戴安全頭盔。
Why are you asking for less money?	你為什麼要求更少的錢？
Why are you asking for the same wage?	你為什麼要求相同的薪資？
Congratulations. You have been given a raise.	恭喜。你已獲得加薪。
Sorry. We cannot grant your request at this time.	抱歉。我們目前無法同意你的要求。
Congratulations.  You got the job.	恭喜。你得到了工作。
Sorry. We're closing. You'll have to come back next week.	抱歉。我們關門了。你得下週回來。
Welcome to ACNE Employment. Why work for the best when you can work like the rest.	歡迎來到 ACNE 職業介紹所。為什麼要為最好的工作奮鬥，當你可以像其他人一樣平庸工作？
Welcome to ACNE Employment. We'll either find you a job, or we won't.	歡迎來到 ACNE 職業介紹所。我們要麼幫你找到工作，要麼不會。
Welcome to ACNE Employment, where your skills and our expertise add up to disappointment!	歡迎來到 ACNE 職業介紹所，你的技能和我們的專業加起來等於失望！
Welcome to ACNE Employment, where every lost job is a blemish on your resume!	歡迎來到 ACNE 職業介紹所，每一份失業都是你履歷上的污點！
Welcome to ACNE Employment. We'll get you a job no matter what it costs you!	歡迎來到 ACNE 職業介紹所。無論付出什麼代價，我們都會幫你找到工作！
Welcome to ACNE Employment, where your resume zits in our files!	歡迎來到 ACNE 職業介紹所，你的履歷痘痘在我們的檔案裡！
Welcome to ACNE Employment. No matter how bad your skills are, we have a job to match!	歡迎來到 ACNE 職業介紹所。無論你的技能有多糟，我們都有相應的工作！
Sorry. You didn't get the job for the following reasons:\n\n	抱歉。你沒有得到工作的原因如下：\n\n
%s  $%d Hr.	%s  $%d 元／小時。
%s $%d Hr.	%s $%d 元／小時。
Welcome to Hi-Tech U. We will learn you for the future.	歡迎來到高等技術大學。我們將為你的未來授課。
Welcome to Hi-Tech U. We'll learn you to talk English good!	歡迎來到高等技術大學。我們會教你好好講英文！
Welcome to Hi-Tech U. Our Geology classes will put rocks in your head!	歡迎來到高等技術大學。我們的地質課將把岩石放進你的腦袋！
Welcome to Hi-Tech U, where you'll never be bored of education!	歡迎來到高等技術大學，你永遠不會厭倦教育！
Welcome to Hi-Tech U. Enroll now for the third trimester!	歡迎來到高等技術大學。立即報名第三學期！
Welcome to Hi-Tech U. All our professors have tweed jackets with elbow patches!	歡迎來到高等技術大學。我們所有教授都穿著有肘部補丁的粗花呢外套！
Welcome to Hi-Tech U. Our diplomas are genuine cheepskin!	歡迎來到高等技術大學。我們的文憑是真正的羊皮紙！
Welcome to Hi-Tech U. Our alumni haven't complained yet!	歡迎來到高等技術大學。我們的校友還沒有抱怨！
Welcome to Hi-Tech U. Next semester is Double Credits Semester!	歡迎來到高等技術大學。下學期是雙學分學期！
Welcome to Hi-Tech U. When it comes to education, we will NOT be undersold!	歡迎來到高等技術大學。說到教育，我們不會被低估！
Welcome to Hi-Tech U. Already got your BA and MBA? We'll give you the third degree!	歡迎來到高等技術大學。已經有學士和碩士學位了？我們給你第三學位！
Welcome to Hi-Tech U. No matriculating in the dormitories, please!	歡迎來到高等技術大學。請不要在宿舍裡入學！
Welcome to Hi-Tech U. Enroll now for our fifth quarter!	歡迎來到高等技術大學。立即報名我們的第五季度！
Welcome to Hi-Tech U. You come in with a skull full of mush and you leave thinking like a shyster.	歡迎來到高等技術大學。你進來時腦子一團漿糊，離開時就會像一個騙子一樣思考。
Welcome to Hi-Tech U. Draw Kenny and YOU could win an art scholarship!	歡迎來到高等技術大學。畫肯尼，你就可能贏得藝術獎學金！
Welcome to Hi-Tech U. Check out our Job Displacement Service!	歡迎來到高等技術大學。看看我們的工作轉換服務！
Welcome to Hi-Tech U. Need financial assistance? What do we look like, a bank?	歡迎來到高等技術大學。需要財務協助？我們看起來像銀行嗎？
Welcome to Hi-Tech U, where one good term deserves another!	歡迎來到高等技術大學，一個好學期值得另一個好學期！
Welcome to Hi-Tech U. The CIA recruitment center's right here on campus!	歡迎來到高等技術大學。中情局招募中心就在校園裡！
Welcome to Hi-Tech U. Meet Ed Fiz, our Phys Ed instructor!	歡迎來到高等技術大學。認識艾德．菲茲，我們的體育教師！
Welcome to Hi-Tech U. CPA degrees or 65% x 1.2146/5ths of your money back!	歡迎來到高等技術大學。會計師學位或退回你 65% x 1.2146/5ths 的金錢！
Welcome to Hi-Tech U. Where our campus ROTC stands for Really Obnoxious Teenage Civilians!	歡迎來到高等技術大學。我們校園的後備軍官訓練代表真正討厭的少年平民！
No time is left to go to class.	沒有時間去上課了。
You need to enroll in a class first.	你需要先報名上課。
Perhaps next year we will have more classes to offer to you.	也許明年我們會有更多課程提供給你。
Your enrollment fee of $%d has been accepted.	你的 $%d 報名費已被接受。
The enrollment fee is $%d. Would you like to enroll?	報名費是 $%d。你想報名嗎？
Thank You. You may select the class of your choice.	感謝你。你可以選擇你想要的課程。
Perhaps at another time.	也許改日。
Welcome to Socket City. If you paid full price, you must've bought it here!	歡迎來到多插座城市。如果你付了全價，肯定是在這裡買的！
Welcome to Socket City. You're just in time for our Pre-Arbor Day Value Fest!	歡迎來到多插座城市。你正好趕上我們的仲夏節前夕超值節慶！
Welcome to Socket City. Apply for our Revolving Algorithmic Usury Credit Line!	歡迎來到多插座城市。申請我們的循環演算法高利信用額度！
Welcome to Socket City. Our salespeople are here to help you...spend!	歡迎來到多插座城市。我們的銷售人員在這裡幫你……花錢！
Welcome to Socket City. Special today on useless Yuppie electronic gadgets!	歡迎來到多插座城市。今天特賣無用的雅痞電子小物件！
Welcome to Socket City. We only charge 10% over list price!	歡迎來到多插座城市。我們只收取標價 10% 以上的費用！
Welcome to Socket City. Go ahead and TRY to talk us down.	歡迎來到多插座城市。盡管試著跟我們砍價。
Welcome to Socket City. Next Friday is Double Commission Day!	歡迎來到多插座城市。下週五是雙倍佣金日！
Welcome to Socket City. Come to our Moonlight Madness sale. 20% off if you wear your pajamas!	歡迎來到多插座城市。來參加我們的月光瘋狂大促銷。穿睡衣打 8 折！
Welcome to Socket City. Values direct from the factory to the jobber to the wholesaler to us to YOU!	歡迎來到多插座城市。商品直接從工廠、經銷商、批發商到我們再到你！
Welcome to Socket City, Home of High Pressure Sales!	歡迎來到多插座城市，高壓銷售之家！
Welcome to Socket City, where Quality meets its match!	歡迎來到多插座城市，品質遇到了對手！
Welcome to Socket City, where you get less for more!	歡迎來到多插座城市，花更多錢買更少東西！
Welcome to Socket City, where our Service Department never sleeps, eats or bathes!	歡迎來到多插座城市，我們的服務部門不睡覺、不吃飯、不洗澡！
Welcome to Socket City, where the customer is always ripe!	歡迎來到多插座城市，顧客總是成熟的！
