Music is ON	音樂 開啟
Music is OFF	音樂 關閉
Sound Effects are ON	音效 開啟
Sound Effects are OFF	音效 關閉
Thank You for playing `Jones In The Fast Lane'. Would you like to play another game?	感謝您遊玩《人生劇場》。您想再玩一場嗎？
Week #%2d	第 %2d 週
You are not properly dressed for work!	你穿著不適合工作！
You have missed too much work! You're fired!	你缺席太多工作！你被開除了！
Your work habits better pick up soon or you're fired!	你的工作習慣最好立即改進，否則你會被開除！
No time is left to work.	沒有時間工作了。
I'm sorry. I had to garnish $%d.	抱歉，我必須扣款 $%d。
Your Landlord garnished $%d.	你的房東扣款 $%d。
What should be done with the remaining player(s)?	剩下的玩家應該怎麼辦？
$%d an hour	時薪 $%d
No time is left to relax.	沒有時間放鬆了。
Welcome to the Rent Office. Don't snivel. Just pay your rent and leave.	歡迎來到租屋中心。別哭窮。只管交房租滾蛋。
Welcome to the Rent Office. The rent is high, but where else can you get so little for so much.	歡迎來到租屋中心。房租很高，但你還能在哪兒花那麼多錢得到這麼點東西？
Welcome to the Rent Office. We don't charge any extra rent for the cockroaches.	歡迎來到租屋中心。蟑螂房租我們不額外收費。
Welcome to the Rental Office. No waterbeds, pets or velvet toreador paintings, please.	歡迎來到租屋中心。請不要有水床、寵物或絲絨鬥牛士畫。
Welcome to the Rental Office. Where Sunday is Double Rent Increase Day!	歡迎來到租屋中心。這裡週日是雙倍租金漲價日！
Welcome to the Rental Office. Our closets are so roomy, you'll never want to come out!	歡迎來到租屋中心。我們的衣櫃寬敞到你永遠不想出來！
Welcome to the Rental Office. Our security apartments feature 24-hour eunuch guards!	歡迎來到租屋中心。我們的安全公寓配備 24 小時太監守衛！
Welcome to the Rental Office. Come in and meet your slumlo...I mean, your landlord!	歡迎來到租屋中心。進來認識你的貧民窟房東……我是說，你的房東！
Just a few rules: no pets, no children, no smoking, no parties, and no jogging in the halls.	只有幾項規則：不養寵物、不帶小孩、不抽菸、不開派對、不在走廊跑步。
You'll love it! 24-hour security, spa, exercise room and free parking for BMWs.	你會愛上的！24 小時保全、水療、健身房，還有寶馬免費停車位。
A wise choice. Our other building has just been condemned.	明智的選擇。我們另一棟建築剛被列為危樓。
Oh, good! You'll fit right in...EVERYBODY there has an attitude.	哦，太好了！你會融入其中……那裡每個人都很有態度。
We've just put in a sun deck for your slow-roasting pleasure.	我們剛裝了一個日光甲板讓你慢火烤。
